event_id,timestamp,user_id,source_ip,country,device_id,event_type,resource,action,status,session_id,bytes_transferred,duration
10022,2026-08-01 13:24:20,U137,10.3.4.177,USA,DEV_IT _137,LOGIN,-,LOGIN_SUCCESS,SUCCESS,S_U137_0_1_0af9d2,0,2
10023,2026-08-01 13:34:20,U137,10.3.4.177,USA,DEV_IT _137,FILE,/code/main_app,FILE_WRITE,SUCCESS,S_U137_0_1_0af9d2,92942,17
10024,2026-08-01 13:36:20,U137,10.3.4.177,USA,DEV_IT _137,FILE,/admin/syslogs,FILE_WRITE,SUCCESS,S_U137_0_1_0af9d2,167556,22
10025,2026-08-01 13:40:20,U137,10.3.4.177,USA,DEV_IT _137,FILE,/admin/syslogs,FILE_READ,SUCCESS,S_U137_0_1_0af9d2,179647,8
10026,2026-08-01 13:42:20,U137,10.3.4.177,USA,DEV_IT _137,FILE,/admin/backups,FILE_READ,SUCCESS,S_U137_0_1_0af9d2,116176,17
10016,2026-08-01 13:48:24,U137,10.4.5.233,USA,DEV_IT _137,LOGIN,-,LOGIN_SUCCESS,SUCCESS,S_U137_0_0_320dbc,0,1
10017,2026-08-01 14:03:24,U137,10.4.5.233,USA,DEV_IT _137,FILE,/code/main_app,FILE_READ,SUCCESS,S_U137_0_0_320dbc,253873,12
10027,2026-08-01 14:05:20,U137,10.3.4.177,USA,DEV_IT _137,FILE,/admin/syslogs,FILE_READ,SUCCESS,S_U137_0_1_0af9d2,164276,16
10028,2026-08-01 14:15:20,U137,10.3.4.177,USA,DEV_IT _137,AUTHENTICATION,-,LOGOUT,SUCCESS,S_U137_0_1_0af9d2,0,0
10018,2026-08-01 14:26:24,U137,10.4.5.233,USA,DEV_IT _137,FILE,/code/main_app,FILE_READ,SUCCESS,S_U137_0_0_320dbc,136530,28
10019,2026-08-01 14:42:24,U137,10.4.5.233,USA,DEV_IT _137,FILE,/admin/backups,FILE_READ,SUCCESS,S_U137_0_0_320dbc,330034,2
10020,2026-08-01 14:56:24,U137,10.4.5.233,USA,DEV_IT _137,FILE,/admin/syslogs,FILE_READ,SUCCESS,S_U137_0_0_320dbc,386985,15
10021,2026-08-01 15:02:24,U137,10.4.5.233,USA,DEV_IT _137,AUTHENTICATION,-,LOGOUT,SUCCESS,S_U137_0_0_320dbc,0,0
10007,2026-08-01 16:42:33,U125,10.4.3.73,Canada,DEV_HR_125,LOGIN,-,LOGIN_SUCCESS,SUCCESS,S_U125_0_0_d5e262,0,3
10008,2026-08-01 16:57:33,U125,10.4.3.73,Canada,DEV_HR_125,FILE,/hr/performance_reviews/,FILE_WRITE,SUCCESS,S_U125_0_0_d5e262,717556,25
10009,2026-08-01 17:14:33,U125,10.4.3.73,Canada,DEV_HR_125,FILE,/hr/benefits.pdf,FILE_WRITE,SUCCESS,S_U125_0_0_d5e262,1086998,28
10010,2026-08-01 17:36:33,U125,10.4.3.73,Canada,DEV_HR_125,FILE,/hr/benefits.pdf,FILE_READ,SUCCESS,S_U125_0_0_d5e262,2082547,22
10011,2026-08-01 17:45:33,U125,10.4.3.73,Canada,DEV_HR_125,FILE,/hr/benefits.pdf,FILE_WRITE,SUCCESS,S_U125_0_0_d5e262,374988,24
10012,2026-08-01 17:56:33,U125,10.4.3.73,Canada,DEV_HR_125,FILE,/hr/employee_records,FILE_WRITE,SUCCESS,S_U125_0_0_d5e262,1458646,12
10013,2026-08-01 18:15:33,U125,10.4.3.73,Canada,DEV_HR_125,FILE,/hr/employee_records,FILE_READ,SUCCESS,S_U125_0_0_d5e262,682629,9
10014,2026-08-01 18:16:33,U125,10.4.3.73,Canada,DEV_HR_125,NETWORK,10.0.0.1:443,CONNECTION,SUCCESS,S_U125_0_0_d5e262,15021,9
10001,2026-08-01 18:19:14,U115,10.1.5.250,USA,DEV_FIN_115,LOGIN,-,LOGIN_SUCCESS,SUCCESS,S_U115_0_0_00d99b,0,1
10015,2026-08-01 18:34:33,U125,10.4.3.73,Canada,DEV_HR_125,AUTHENTICATION,-,LOGOUT,SUCCESS,S_U125_0_0_d5e262,0,0
10002,2026-08-01 18:36:14,U115,10.1.5.250,USA,DEV_FIN_115,FILE,/finance/budgets_2026.pdf,FILE_READ,SUCCESS,S_U115_0_0_00d99b,1960153,15
10003,2026-08-01 18:58:14,U115,10.1.5.250,USA,DEV_FIN_115,FILE,/finance/budgets_2026.pdf,FILE_READ,SUCCESS,S_U115_0_0_00d99b,1660522,17
10004,2026-08-01 19:12:14,U115,10.1.5.250,USA,DEV_FIN_115,FILE,/finance/q3_report.xlsx,FILE_READ,SUCCESS,S_U115_0_0_00d99b,2801706,24
10005,2026-08-01 19:13:14,U115,10.1.5.250,USA,DEV_FIN_115,AUTHENTICATION,-,PASSWORD_CHANGE,SUCCESS,S_U115_0_0_00d99b,0,2
10006,2026-08-01 19:42:14,U115,10.1.5.250,USA,DEV_FIN_115,AUTHENTICATION,-,LOGOUT,SUCCESS,S_U115_0_0_00d99b,0,0
10051,2026-08-02 08:35:18,U118,10.4.2.196,USA,DEV_ENG_118,LOGIN,-,LOGIN_SUCCESS,SUCCESS,S_U118_1_0_a3f2e6,0,1
10052,2026-08-02 08:46:18,U118,10.4.2.196,USA,DEV_ENG_118,FILE,/docs/architecture.pdf,FILE_WRITE,SUCCESS,S_U118_1_0_a3f2e6,973730,12
10053,2026-08-02 08:53:18,U118,10.4.2.196,USA,DEV_ENG_118,FILE,/code/main_app,FILE_WRITE,SUCCESS,S_U118_1_0_a3f2e6,1051870,5
10054,2026-08-02 08:57:18,U118,10.4.2.196,USA,DEV_ENG_118,FILE,/docs/architecture.pdf,FILE_WRITE,SUCCESS,S_U118_1_0_a3f2e6,205361,20
10055,2026-08-02 09:19:18,U118,10.4.2.196,USA,DEV_ENG_118,FILE,/code/main_app,FILE_READ,SUCCESS,S_U118_1_0_a3f2e6,362890,27
10056,2026-08-02 09:39:18,U118,10.4.2.196,USA,DEV_ENG_118,FILE,/jira/tickets,FILE_READ,SUCCESS,S_U118_1_0_a3f2e6,570494,5
10065,2026-08-02 09:48:43,U146,10.5.9.31,Germany,DEV_ENG_146,LOGIN,-,LOGIN_SUCCESS,SUCCESS,S_U146_1_0_c2d1d4,0,1
10057,2026-08-02 09:58:18,U118,10.4.2.196,USA,DEV_ENG_118,FILE,/docs/architecture.pdf,FILE_READ,SUCCESS,S_U118_1_0_a3f2e6,1300168,27
10066,2026-08-02 10:06:43,U146,10.5.9.31,Germany,DEV_ENG_146,FILE,/docs/architecture.pdf,FILE_WRITE,SUCCESS,S_U146_1_0_c2d1d4,430610,20
10058,2026-08-02 10:15:18,U118,10.4.2.196,USA,DEV_ENG_118,AUTHENTICATION,-,LOGOUT,SUCCESS,S_U118_1_0_a3f2e6,0,0
10043,2026-08-02 10:18:14,U110,10.4.7.228,USA,DEV_EXE_110,LOGIN,-,LOGIN_SUCCESS,SUCCESS,S_U110_1_2_b1eb78,0,3
