id,date,user,pc,activity,filename,size
CERT_LOG_1000,09/01/2026 08:00:00,USER_101,PC_101,Logon,\\server\share\document_0.docx,1000000
CERT_LOG_1001,09/01/2026 08:15:00,USER_102,PC_102,FileOpen,\\server\share\document_1.docx,2000000
CERT_LOG_1002,09/01/2026 08:30:00,USER_103,PC_103,FileOpen,\\server\share\document_2.docx,3000000
CERT_LOG_1003,09/01/2026 08:45:00,USER_104,PC_104,FileOpen,\\server\share\document_3.docx,4000000
CERT_LOG_1004,09/01/2026 09:00:00,USER_105,PC_105,FileOpen,\\server\share\document_4.docx,5000000
CERT_LOG_1005,09/01/2026 09:15:00,USER_106,PC_106,FileOpen,\\server\share\document_5.docx,6000000
CERT_LOG_1006,09/01/2026 09:30:00,USER_107,PC_107,FileOpen,\\server\share\document_6.docx,7000000
CERT_LOG_1007,09/01/2026 09:45:00,USER_108,PC_108,FileOpen,\\server\share\document_7.docx,8000000
CERT_LOG_1008,09/01/2026 10:00:00,USER_109,PC_109,FileOpen,\\server\share\document_8.docx,9000000
CERT_LOG_1009,09/01/2026 10:15:00,USER_110,PC_110,FileOpen,\\server\share\document_9.docx,10000000
CERT_LOG_1010,09/01/2026 10:30:00,USER_111,PC_111,Logon,\\server\share\document_10.docx,11000000
CERT_LOG_1011,09/01/2026 10:45:00,USER_112,PC_112,FileOpen,\\server\share\document_11.docx,12000000
CERT_LOG_1012,09/01/2026 11:00:00,USER_113,PC_113,FileOpen,\\server\share\document_12.docx,13000000
CERT_LOG_1013,09/01/2026 11:15:00,USER_114,PC_114,FileOpen,\\server\share\document_13.docx,14000000
CERT_LOG_1014,09/01/2026 11:30:00,USER_115,PC_115,FileOpen,\\server\share\document_14.docx,15000000
CERT_LOG_1015,09/01/2026 11:45:00,USER_116,PC_116,FileOpen,\\server\share\document_0.docx,16000000
CERT_LOG_1016,09/01/2026 12:00:00,USER_117,PC_117,FileOpen,\\server\share\document_1.docx,17000000
CERT_LOG_1017,09/01/2026 12:15:00,USER_118,PC_118,FileOpen,\\server\share\document_2.docx,18000000
CERT_LOG_1018,09/01/2026 12:30:00,USER_119,PC_119,FileOpen,\\server\share\document_3.docx,19000000
CERT_LOG_1019,09/01/2026 12:45:00,USER_101,PC_101,FileOpen,\\server\share\document_4.docx,20000000
CERT_LOG_1020,09/01/2026 13:00:00,USER_102,PC_102,Logon,\\server\share\document_5.docx,21000000
CERT_LOG_1021,09/01/2026 13:15:00,USER_103,PC_103,FileOpen,\\server\share\document_6.docx,22000000
CERT_LOG_1022,09/01/2026 13:30:00,USER_104,PC_104,FileOpen,\\server\share\document_7.docx,23000000
CERT_LOG_1023,09/01/2026 13:45:00,USER_105,PC_105,FileOpen,\\server\share\document_8.docx,24000000
CERT_LOG_1024,09/01/2026 14:00:00,USER_106,PC_106,FileOpen,\\server\share\document_9.docx,25000000
CERT_LOG_1025,09/01/2026 14:15:00,USER_107,PC_107,FileOpen,\\server\share\document_10.docx,1000000
CERT_LOG_1026,09/01/2026 14:30:00,USER_108,PC_108,FileOpen,\\server\share\document_11.docx,2000000
CERT_LOG_1027,09/01/2026 14:45:00,USER_109,PC_109,FileOpen,\\server\share\document_12.docx,3000000
CERT_LOG_1028,09/01/2026 15:00:00,USER_110,PC_110,FileOpen,\\server\share\document_13.docx,4000000
CERT_LOG_1029,09/01/2026 15:15:00,USER_111,PC_111,FileOpen,\\server\share\document_14.docx,5000000
CERT_LOG_1030,09/01/2026 15:30:00,USER_112,PC_112,Logon,\\server\share\document_0.docx,6000000
CERT_LOG_1031,09/01/2026 15:45:00,USER_113,PC_113,FileOpen,\\server\share\document_1.docx,7000000
CERT_LOG_1032,09/01/2026 16:00:00,USER_114,PC_114,FileOpen,\\server\share\document_2.docx,8000000
CERT_LOG_1033,09/01/2026 16:15:00,USER_115,PC_115,FileOpen,\\server\share\document_3.docx,9000000
CERT_LOG_1034,09/01/2026 16:30:00,USER_116,PC_116,FileOpen,\\server\share\document_4.docx,10000000
CERT_LOG_1035,09/01/2026 16:45:00,USER_117,PC_117,FileOpen,\\server\share\document_5.docx,11000000
CERT_LOG_1036,09/01/2026 17:00:00,USER_118,PC_118,FileOpen,\\server\share\document_6.docx,12000000
CERT_LOG_1037,09/01/2026 17:15:00,USER_119,PC_119,FileOpen,\\server\share\document_7.docx,13000000
CERT_LOG_1038,09/01/2026 17:30:00,USER_101,PC_101,FileOpen,\\server\share\document_8.docx,14000000
CERT_LOG_1039,09/01/2026 17:45:00,USER_102,PC_102,FileOpen,\\server\share\document_9.docx,15000000
CERT_LOG_1040,09/01/2026 18:00:00,USER_103,PC_103,Logon,\\server\share\document_10.docx,16000000
CERT_LOG_1041,09/01/2026 18:15:00,USER_104,PC_104,FileOpen,\\server\share\document_11.docx,17000000
CERT_LOG_1042,09/01/2026 18:30:00,USER_105,PC_105,FileOpen,\\server\share\document_12.docx,18000000
CERT_LOG_1043,09/01/2026 18:45:00,USER_106,PC_106,FileOpen,\\server\share\document_13.docx,19000000
CERT_LOG_1044,09/01/2026 19:00:00,USER_107,PC_107,FileOpen,\\server\share\document_14.docx,20000000
CERT_LOG_1045,09/01/2026 19:15:00,USER_108,PC_108,FileOpen,\\server\share\document_0.docx,21000000
